Date,Month,Name of Month,Day of Month,DayNumber,Day of week,Add Count,Add Amount
04/01,4,Apr,1,1,Monday,3271,2278838
04/02,4,Apr,2,2,Tuesday,2977,2015992
04/03,4,Apr,3,3,Wednesday,2971,2019640
04/04,4,Apr,4,4,Thursday,9165,10162587
04/05,4,Apr,5,5,Friday,2953,2258581
04/06,4,Apr,6,6,Saturday,598,504201
04/07,4,Apr,7,7,Sunday,460,248527
04/08,4,Apr,8,8,Monday,3092,2079823
04/09,4,Apr,9,9,Tuesday,3061,2092560
04/10,4,Apr,10,10,Wednesday,2922,1931365
04/11,4,Apr,11,11,Thursday,2903,2071555
04/12,4,Apr,12,12,Friday,2800,2005229
04/13,4,Apr,13,13,Saturday,496,290529
04/14,4,Apr,14,14,Sunday,468,275557
04/15,4,Apr,15,15,Monday,3041,2307991
04/16,4,Apr,16,16,Tuesday,3013,2059196
04/17,4,Apr,17,17,Wednesday,2898,1966907
04/18,4,Apr,18,18,Thursday,2649,1867044
04/19,4,Apr,19,19,Friday,2732,1961529
04/20,4,Apr,20,20,Saturday,550,305558
04/21,4,Apr,21,21,Sunday,396,347177
04/22,4,Apr,22,22,Monday,2296,1447263
04/23,4,Apr,23,23,Tuesday,2699,1886422
04/24,4,Apr,24,24,Wednesday,2790,2077623
04/25,4,Apr,25,25,Thursday,2745,1981068
04/26,4,Apr,26,26,Friday,2753,1943759
04/27,4,Apr,27,27,Saturday,532,246921
04/28,4,Apr,28,28,Sunday,442,339503
04/29,4,Apr,29,29,Monday,3029,2128729
04/30,4,Apr,30,30,Tuesday,2879,2004391
05/01,5,May,1,31,Saturday,3030,2055202
05/02,5,May,2,32,Sunday,2869,2139435
05/03,5,May,3,33,Monday,2985,2312665
05/04,5,May,4,34,Tuesday,6866,7340030
05/05,5,May,5,35,Wednesday,405,207576
05/06,5,May,6,36,Thursday,3031,2245157
05/07,5,May,7,37,Friday,2954,1968993
05/08,5,May,8,38,Saturday,3002,2026546
05/09,5,May,9,39,Sunday,2827,2087703
05/10,5,May,10,40,Monday,2870,2183614
05/11,5,May,11,41,Tuesday,523,334380
05/12,5,May,12,42,Wednesday,392,157895
05/13,5,May,13,43,Thursday,3116,2171624
05/14,5,May,14,44,Friday,2934,1858925
05/15,5,May,15,45,Saturday,2801,1788258
05/16,5,May,16,46,Sunday,2792,1882070
05/17,5,May,17,47,Monday,2707,1822472
05/18,5,May,18,48,Tuesday,529,156055
05/19,5,May,19,49,Wednesday,456,134520
05/20,5,May,20,50,Thursday,508,149860
05/21,5,May,21,51,Friday,493,145435
05/22,5,May,22,52,Saturday,197,58115
05/23,5,May,23,53,Sunday,208,61360
05/24,5,May,24,54,Monday,400,118000
05/25,5,May,25,55,Tuesday,658,194110
05/26,5,May,26,56,Wednesday,531,156645
05/27,5,May,27,57,Thursday,459,135405
05/28,5,May,28,58,Friday,406,119770
05/29,5,May,29,59,Saturday,221,65195
05/30,5,May,30,60,Sunday,241,71095
05/31,5,May,31,61,Monday,470,138650
06/01,6,Jun,1,62,Tuesday,659,194405
06/02,6,Jun,2,63,Wednesday,774,228330
06/03,6,Jun,3,64,Thursday,689,203255
06/04,6,Jun,4,65,Friday,3417,1008015
06/05,6,Jun,5,66,Saturday,292,86140
06/06,6,Jun,6,67,Sunday,219,64605
06/07,6,Jun,7,68,Monday,710,209450
06/08,6,Jun,8,69,Tuesday,558,164610
06/09,6,Jun,9,70,Wednesday,685,202075
06/10,6,Jun,10,71,Thursday,646,190570
06/11,6,Jun,11,72,Friday,765,225675
06/12,6,Jun,12,73,Saturday,289,85255
06/13,6,Jun,13,74,Sunday,213,62835
06/14,6,Jun,14,75,Monday,769,226855
06/15,6,Jun,15,76,Tuesday,607,179065
06/16,6,Jun,16,77,Wednesday,492,145140
06/17,6,Jun,17,78,Thursday,764,225380
06/18,6,Jun,18,79,Friday,515,151925
06/19,6,Jun,19,80,Saturday,198,58410
06/20,6,Jun,20,81,Sunday,266,78470
06/21,6,Jun,21,82,Monday,700,206500
06/22,6,Jun,22,83,Tuesday,780,230100
06/23,6,Jun,23,84,Wednesday,559,164905
06/24,6,Jun,24,85,Thursday,772,227740
06/25,6,Jun,25,86,Friday,421,124195
06/26,6,Jun,26,87,Saturday,247,72865
06/27,6,Jun,27,88,Sunday,296,87320
06/28,6,Jun,28,89,Monday,601,177295
06/29,6,Jun,29,90,Tuesday,518,152810
06/30,6,Jun,30,91,Wednesday,487,143665