PartName,Side,PartNumber,Weight (g),Target,USL,LSL
Aileron,Left,A1,867,867,870,864
Aileron,Left,A2,869,867,870,864
Aileron,Left,A3,868,867,870,864
Aileron,Left,A4,866,867,870,864
Aileron,Left,A5,868,867,870,864
Aileron,Left,A6,863,867,870,864
Aileron,Left,A7,869,867,870,864
Aileron,Left,A8,865,867,870,864
Aileron,Left,A9,870,867,870,864
Aileron,Left,A10,869,867,870,864
Aileron,Right,A11,865,867,870,864
Aileron,Right,A12,866,867,870,864
Aileron,Right,A13,864,867,870,864
Aileron,Right,A14,866,867,870,864
Aileron,Right,A15,866,867,870,864
Aileron,Right,A16,867,867,870,864
Aileron,Right,A17,868,867,870,864
Aileron,Right,A18,871,867,870,864
Aileron,Right,A19,868,867,870,864
Aileron,Right,A20,867,867,870,864
Elevator,Left,E1,690,692,701,683
Elevator,Left,E2,693,692,701,683
Elevator,Left,E3,694,692,701,683
Elevator,Left,E4,691,692,701,683
Elevator,Left,E5,689,692,701,683
Elevator,Left,E6,695,692,701,683
Elevator,Left,E7,693,692,701,683
Elevator,Left,E8,693,692,701,683
Elevator,Left,E9,691,692,701,683
Elevator,Left,E10,691,692,701,683
Elevator,Left,E11,694,692,701,683
Elevator,Left,E12,692,692,701,683
Elevator,Left,E13,693,692,701,683
Elevator,Right,E14,692,692,701,683
Elevator,Right,E15,691,692,701,683
Elevator,Right,E16,690,692,701,683
Elevator,Right,E17,693,692,701,683
Elevator,Right,E18,694,692,701,683
Elevator,Right,E19,699,692,701,683
Elevator,Right,E20,691,692,701,683
Elevator,Right,E21,691,692,701,683
Elevator,Right,E22,692,692,701,683
Elevator,Right,E23,696,692,701,683
Elevator,Right,E24,691,692,701,683
Elevator,Right,E25,690,692,701,683
Elevator,Right,E26,688,692,701,683